Time (seconds), PosCmd (Theta) deg, PosFbk (Theta) deg, PosErr (Theta) deg, VelCmd (Theta) deg/msec, VelFbk (Theta) deg/msec, VelErr (Theta) deg/msec, AccCmd (Theta), AccErr (Theta), AccFbk (Theta), CurCmd (Theta), CurFbk (Theta), CurErr (Theta), AxisStatus (Theta), DriveStatus (Theta), PsoCounter0 (Theta), PsoStatus (Theta), WaveformActive (Theta), PsoWaveformActiveOnTime (Theta), PsoWaveformActivePulseCount (Theta), PsoWaveformActiveTotalTime (Theta)
0.074, 1516932.0000003541, 1516932.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.10443346947431564, 0.13002388179302216, -0.025590412318706512, 8585, 16851009, 9699, 540, 1, 100, 20000, 1000
0.075, 1516950.0000003541, 1516950.04, -0.03999964594841004, 18, 18, 0, 0, 0.02, -0.02, 0.12349718064069748, 0.08999130129814148, 0.033505879342556, 8585, 16851041, 8799, 540, 1, 100, 20000, 1000
0.076, 1516968.0000003541, 1516968, 3.5405158996582034E-07, 18, 17.96, 0.04, 0, 0.04, -0.04, 0.2735373377799988, 0.16603082418441772, 0.10750651359558105, 8585, 16851105, 7901, 540, 1, 100, 20000, 1000
0.077, 1516986.0000003541, 1516985.96, 0.04000035405158996, 18, 17.96, 0.04, 0, 0, 0, 0.2546704113483429, 0.2892381250858307, -0.03456771373748779, 8585, 16851073, 7003, 540, 1, 100, 20000, 1000
0.078, 1517004.0000003541, 1517003.94, 0.06000035405158997, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.2576259970664978, 0.2418379783630371, 0.015788018703460693, 8585, 16851137, 6103, 540, 1, 100, 20000, 1000
0.079, 1517022.0000003541, 1517021.96, 0.04000035405158996, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.20604901015758514, 0.19590575993061066, 0.010143250226974487, 8585, 16851009, 5202, 540, 1, 100, 20000, 1000
0.08, 1517040.0000003541, 1517040, 3.5405158996582034E-07, 18, 18.04, -0.04, 0, -0.02, 0.02, 0.11274036765098572, 0.13369548320770264, -0.02095511555671692, 8585, 16851041, 4300, 540, 1, 100, 20000, 1000
0.081, 1517058.0000003541, 1517058.04, -0.03999964594841004, 18, 18.04, -0.04, 0, 0, 0, 0.09975438565015793, 0.10330674052238464, -0.003552354872226715, 8585, 16850977, 3398, 540, 1, 100, 20000, 1000
0.082, 1517076.0000003541, 1517076.06, -0.059999645948410035, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.10471593588590622, 0.07342610508203506, 0.031289830803871155, 8585, 16851105, 2498, 540, 1, 100, 20000, 1000
0.083, 1517094.0000003541, 1517094.04, -0.03999964594841004, 18, 17.98, 0.02, 0, 0.04, -0.04, 0.13912802934646606, 0.11815245449542999, 0.020975574851036072, 8585, 16851073, 1599, 540, 1, 100, 20000, 1000
0.084, 1517112.0000003541, 1517112, 3.5405158996582034E-07, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.253659188747406, 0.16975416243076324, 0.08390502631664276, 8585, 16851137, 701, 540, 1, 100, 20000, 1000
0.085, 1517130.0000003541, 1517129.96, 0.04000035405158996, 18, 17.96, 0.04, 0, 0, 0, 0.2355995625257492, 0.29213663935661316, -0.05653707683086395, 8585, 16851009, 14253, 540, 1, 100, 20000, 1000
0.08600000000000001, 1517148.0000003541, 1517147.94, 0.06000035405158997, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.21550661325454712, 0.2522660791873932, -0.03675946593284607, 8585, 16851041, 13353, 540, 1, 100, 20000, 1000
0.08700000000000001, 1517166.0000003541, 1517165.98, 0.020000354051589966, 18, 18.04, -0.04, 0, -0.06, 0.06, 0.06034421548247337, 0.1824708878993988, -0.12212667241692543, 8585, 16850977, 12452, 540, 1, 100, 20000, 1000
0.088, 1517184.0000003541, 1517184.02, -0.019999645948410034, 18, 18.04, -0.04, 0, 0, 0, 0.07148446142673492, 0.10362580418586731, -0.032141342759132385, 8585, 16851105, 11550, 540, 1, 100, 20000, 1000
0.089, 1517202.0000003541, 1517202.04, -0.03999964594841004, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.022805379703640938, 0.10541239380836487, -0.08260701410472393, 8585, 16851137, 10648, 540, 1, 100, 20000, 1000
0.09, 1517220.0000003541, 1517220.04, -0.03999964594841004, 18, 18, 0, 0, 0.02, -0.02, 0.12303103506565094, 0.11350327730178833, 0.00952775776386261, 8585, 16851009, 9749, 540, 1, 100, 20000, 1000
0.091, 1517238.0000003541, 1517238.02, -0.019999645948410034, 18, 17.98, 0.02, 0, 0.02, -0.02, 0.1602102667093277, 0.1510894000530243, 0.009120866656303406, 8585, 16851041, 8850, 540, 1, 100, 20000, 1000
0.092, 1517256.0000003541, 1517255.98, 0.020000354051589966, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.17246633768081665, 0.17079076170921326, 0.0016755759716033936, 8585, 16850977, 7951, 540, 1, 100, 20000, 1000
0.093, 1517274.0000003541, 1517273.98, 0.020000354051589966, 18, 18, 0, 0, -0.04, 0.04, 0.17418891191482544, 0.19598662853240967, -0.02179771661758423, 8585, 16851105, 7052, 540, 1, 100, 20000, 1000
0.094, 1517292.0000003541, 1517292, 3.5405158996582034E-07, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.16316372156143188, 0.17575165629386902, -0.012587934732437134, 8585, 16851073, 6151, 540, 1, 100, 20000, 1000
0.095, 1517310.0000003541, 1517310, 3.5405158996582034E-07, 18, 18, 0, 0, 0.02, -0.02, 0.16521072387695312, 0.14729219675064087, 0.017918527126312256, 8585, 16851137, 5250, 540, 1, 100, 20000, 1000
0.096, 1517328.0000003541, 1517328.02, -0.019999645948410034, 18, 18.02, -0.02, 0, -0.02, 0.02, 0.14459198713302612, 0.1415180116891861, 0.003073975443840027, 8585, 16851009, 4349, 540, 1, 100, 20000, 1000
0.097, 1517346.0000003544, 1517346.04, -0.039999645650386814, 18.000000000298023, 18.02, -0.019999999701976776, 2.9802322387695313E-10, 2.9802322387695313E-10, 0, 0.12178193032741547, 0.08610367029905319, 0.035678260028362274, 8585, 16851041, 3448, 540, 1, 100, 20000, 1000
0.098, 1517364.0000003544, 1517364.02, -0.01999964565038681, 18, 17.98, 0.02, -2.9802322387695313E-10, 0.03999999970197678, -0.04, 0.2241913229227066, 0.1323949545621872, 0.09179636836051941, 8585, 16850977, 2550, 540, 1, 100, 20000, 1000
0.099, 1517382.0000003544, 1517381.98, 0.02000035434961319, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.21251629292964935, 0.20951128005981445, 0.0030050128698349, 8585, 16851105, 1652, 540, 1, 100, 20000, 1000
0.1, 1517400.0000003544, 1517399.96, 0.04000035434961319, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.1909705251455307, 0.25643137097358704, -0.06546084582805634, 8585, 16851073, 753, 540, 1, 100, 20000, 1000
0.101, 1517418.0000003544, 1517417.96, 0.04000035434961319, 18, 18, 0, 0, -0.02, 0.02, 0.19562409818172455, 0.19504322111606598, 0.0005808770656585693, 8585, 16851009, 15102, 540, 1, 100, 20000, 1000
0.10200000000000001, 1517436.0000003544, 1517436, 3.543496131896973E-07, 18, 18.04, -0.04, 0, -0.04, 0.04, 0.04084284231066704, 0.16371873021125793, -0.1228758879005909, 8585, 16851041, 14200, 540, 1, 100, 20000, 1000
0.10300000000000001, 1517454.0000003544, 1517454.04, -0.039999645650386814, 18, 18.04, -0.04, 0, 0, 0, 0.01668139360845089, 0.09396618604660034, -0.07728479243814945, 8585, 16850977, 13299, 540, 1, 100, 20000, 1000
0.10400000000000001, 1517472.0000003544, 1517472.06, -0.05999964565038681, 18, 18.02, -0.02, 0, 0.02, -0.02, 0.04831331595778465, 0.09124581515789032, -0.04293249920010567, 8585, 16851105, 12398, 540, 1, 100, 20000, 1000
0.105, 1517490.0000003544, 1517490.04, -0.039999645650386814, 18, 17.98, 0.02, 0, 0.04, -0.04, 0.14516139030456543, 0.11408786475658417, 0.031073525547981262, 8585, 16851073, 11498, 540, 1, 100, 20000, 1000
0.106, 1517508.0000003544, 1517508, 3.543496131896973E-07, 18, 17.96, 0.04, 0, 0.02, -0.02, 0.24562108516693115, 0.14046120643615723, 0.10515987873077393, 8585, 16851137, 10600, 540, 1, 100, 20000, 1000
0.107, 1517526.0000003544, 1517525.96, 0.04000035434961319, 18, 17.96, 0.04, 0, 0, 0, 0.28432172536849976, 0.2433134913444519, 0.04100823402404785, 8585, 16851009, 9703, 540, 1, 100, 20000, 1000
0.108, 1517544.0000003544, 1517543.94, 0.06000035434961319, 18, 17.98, 0.02, 0, -0.02, 0.02, 0.20890571177005768, 0.2095727026462555, -0.0006669908761978149, 8585, 16851041, 8804, 540, 1, 100, 20000, 1000
0.109, 1517562.0000003544, 1517561.96, 0.04000035434961319, 18, 18.02, -0.02, 0, -0.04, 0.04, 0.1087237000465393, 0.1984330415725708, -0.0897093415260315, 8585, 16850977, 7902, 540, 1, 100, 20000, 1000
